
# Bluegill
is_city = yes
owner = B26
controller = B26
add_core = B26

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_murloc
religion = deep_mother

hre = no
trade_goods = fish


598.1.1 = {
    # Steamwheedle
    owner = A80
    controller = A80
    add_core = A80
    remove_core = B26
    
    culture = culture_goblin
    religion = technomancy
}

# Beyond the Dark Portal
600.1.1 = {
    # Lordaeron
    owner = A08
    controller = A08
    add_core = A08
    add_core = A06
    remove_core = A80
    
    culture = culture_lordaeron 
    religion = holy_light
}

# The Frozen Throne
618.1.1 = {
    # Bluegill
    owner = B26
    controller = B26
    add_core = B26
    remove_core = A08
    remove_core = A06
    
    culture = culture_murloc
    religion = deep_mother
}

